"","player","team","2019-2020","2020-2021","2021-2022","2022-2023","2023-2024","2024-2025"
"371","Emmanuel Mudiay","UTA","$1,737,145","","","","",""
"372","Raul Neto","PHI","$1,737,145","","","","",""
"373","JaKarr Sampson","IND","$1,737,145","","","","",""
"374","Pat Connaughton","MIL","$1,723,050","","","","",""
"375","Jahlil Okafor","NOP","$1,702,486","","","","",""
"376","Rodions Kurucs","BRK","$1,699,236","$1,780,152","$1,861,068","","",""
"377","Jonah Bolden","PHI","$1,698,450","","","","",""
"378","Georges Niang","UTA","$1,678,854","$1,783,557","","","",""
"379","Cheick Diallo","PHO","$1,678,854","$1,824,003","","","",""
"380","Dragan Bender","MIL","$1,678,854","","","","",""
"381","David Nwaba","BRK","$1,678,854","","","","",""
"382","Treveon Graham","ATL","$1,678,854","","","","",""
"383","Willy Hernang¨®mez","CHO","$1,676,735","","","","",""
"384","Derrick Jones","MIA","$1,645,357","","","","",""
"385","Jordan McRae","DET","$1,645,357","","","","",""
"386","Christian Wood","DET","$1,645,357","","","","",""
"387","Furkan Korkmaz","PHI","$1,620,564","$1,762,796","","","",""
"388","Jordan Bell","MEM","$1,620,564","","","","",""
"389","Justin Patton","DAL","$1,620,564","","","","",""
"390","Royce O'Neale","UTA","$1,618,520","$8,035,714","$8,678,571","$9,321,429","$9,964,286",""
"391","Dillon Brooks","MEM","$1,618,520","$11,400,000","$12,200,000","$11,400,000","",""
"392","Wesley Iwundu","ORL","$1,618,520","","","","",""
"393","Abdel Nader","OKC","$1,618,520","$1,752,950","","","",""
"394","Damyean Dotson","NYK","$1,618,520","","","","",""
"395","Frank Jackson","NOP","$1,618,520","","","","",""
"396","Sterling Brown","MIL","$1,618,520","","","","",""
"397","Dwayne Bacon","CHO","$1,618,520","","","","",""
"398","Semi Ojeleye","BOS","$1,618,520","$1,752,950","","","",""
"399","Chris Boucher","TOR","$1,588,231","","","","",""
"400","Malcolm Miller","TOR","$1,588,231","","","","",""
"401","Monte Morris","DEN","$1,588,231","$1,663,861","","","",""
"402","Mitchell Robinson","NYK","$1,559,712","$1,663,861","$1,802,057","","",""
"403","Vlatko <U+010C>an<U+010D>ar","DEN","$1,517,981","$898,310","$1,782,621","","",""
"404","Isaiah Roby","OKC","$1,500,000","$1,517,981","$1,782,621","$1,930,681","",""
"405","Nigel Williams-Goss","UTA","$1,500,000","$1,517,981","$1,782,621","","",""
"406","J.R. Smith","CLE","$1,456,667","$1,456,667","$1,456,666","","",""
"407","Shake Milton","PHI","$1,445,697","$1,701,593","$1,846,738","$1,997,718","",""
"408","Thanasis Antetokounmpo","MIL","$1,445,697","$1,701,593","","","",""
"409","Amile Jefferson","ORL","$1,445,697","","","","",""
"410","Theo Pinson","BRK","$1,445,697","$1,701,593","","","",""
"411","Brad Wanamaker","BOS","$1,445,697","","","","",""
"412","Derrick Walton","ATL","$1,445,697","","","","",""
"413","Ryan Broekhoff","DAL","$1,443,842","","","","",""
"414","Gary Trent","POR","$1,416,852","$1,663,861","","","",""
"415","Isaac Bonga","WAS","$1,416,852","$1,663,861","","","",""
"416","Chimezie Metu","SAS","$1,416,852","$1,663,861","","","",""
"417","Jevon Carter","PHO","$1,416,852","","","","",""
"418","Elie Okobo","PHO","$1,416,852","$1,663,861","$1,802,057","","",""
"419","Melvin Frazier","ORL","$1,416,852","$1,663,861","","","",""
"420","Deonte Burton","OKC","$1,416,852","$1,663,861","","","",""
"421","Hamidou Diallo","OKC","$1,416,852","$1,663,861","","","",""
"422","Kenrich Williams","NOP","$1,416,852","","","","",""
"423","Jarred Vanderbilt","MIN","$1,416,852","$1,663,861","","","",""
"424","Duncan Robinson","MIA","$1,416,852","$1,663,861","","","",""
"425","Kendrick Nunn","MIA","$1,416,852","$1,663,861","","","",""
"426","De'Anthony Melton","MEM","$1,416,852","","","","",""
"427","Alize Johnson","IND","$1,416,852","","","","",""
"428","Isaiah Hartenstein","HOU","$1,416,852","$1,663,861","","","",""
"429","Sviatoslav Mykhailiuk","DET","$1,416,852","$1,663,861","","","",""
"430","Bruce Brown","DET","$1,416,852","$1,663,861","","","",""
"431","Keita Bates-Diop","DEN","$1,416,852","$1,663,861","","","",""
"432","Devonte' Graham","CHO","$1,416,852","$1,663,861","","","",""
"433","Jalen Brunson","DAL","$1,416,582","$1,663,861","$1,802,057","","",""
"434","Bruno Fernando","ATL","$1,400,000","$1,517,981","$1,782,621","","",""
"435","Jaylen Nowell","MIN","$1,400,000","$1,517,981","$1,782,621","$1,930,681","",""
"436","Alfonzo McKinnie","CLE","$1,361,046","$1,762,796","$1,910,860","$2,165,298","",""
"437","Kevin Porter","CLE","$1,290,960","$2,033,160","$2,130,240","$3,845,083","",""
"438","Carsen Edwards","BOS","$1,228,026","$1,517,981","$1,782,621","$1,930,681","",""
"439","Cody Martin","CHO","$1,173,310","$1,517,981","$1,782,621","","",""
"440","Gary Payton","WAS","$1,090,781","","","","",""
"441","George Hill","MIL","$1,000,000","","","","",""
"442","Terance Mann","LAC","$1,000,000","$1,517,984","$1,782,621","$1,930,681","",""
"443","Jonathon Simmons","WAS","$1,000,000","","","","",""
"444","Justin Hamilton","TOR","$1,000,000","","","","",""
"445","Kyle Singler","OKC","$999,200","$999,200","$999,200","$999,200","",""
"446","Marvin Williams","MIL","$956,349","","","","",""
"447","Admiral Schofield","WAS","$898,310","$1,517,981","$1,782,621","","",""
"448","KZ Okpala","MIA","$898,310","$1,517,981","$1,782,621","","",""
"449","Eric Paschall","GSW","$898,310","$1,517,981","$1,782,621","","",""
"450","Nicolas Claxton","BRK","$898,310","$1,517,981","$1,782,621","","",""
"451","Justin James","SAC","$898,310","$1,517,981","$1,782,621","","",""
"452","Jalen Lecque","PHO","$898,310","$1,517,981","$1,782,621","$1,930,681","",""
"453","Ignas Brazdeikis","NYK","$898,310","$1,517,981","$1,782,621","","",""
"454","Talen Horton-Tucker","LAL","$898,310","$1,517,981","","","",""
"455","Daniel Gafford","CHI","$898,310","$1,517,981","$1,782,621","$1,930,681","",""
"456","Alen Smailagi<U+0107>","GSW","$898,310","$1,517,981","$1,782,621","$1,930,681","",""
"457","Matt Thomas","TOR","$898,310","$1,517,981","$1,782,621","","",""
"458","Miye Oni","UTA","$898,310","$1,517,981","$1,782,621","","",""
"459","Dewan Hernandez","TOR","$898,310","$1,517,981","$1,782,621","","",""
"460","Terence Davis","TOR","$898,310","$1,517,981","","","",""
"461","Wenyen Gabriel","POR","$898,310","","","","",""
"462","Naz Reid","MIN","$898,310","$1,517,981","$1,782,621","$1,930,681","",""
"463","Jalen McDaniels","CHO","$898,310","$1,517,981","$1,782,621","$1,930,681","",""
"464","Caleb Martin","CHO","$898,310","$1,517,981","$1,782,621","","",""
"465","Shaquille Harrison","CHI","$898,310","","","","",""
"466","Javonte Green","BOS","$898,310","$1,517,981","","","",""
"467","Damion Lee","GSW","$842,327","$1,762,796","$1,910,860","","",""
"468","Khyri Thomas","DET","$838,464","$1,663,861","","","",""
"469","DeMarre Carroll","HOU","$811,447","","","","",""
"470","Michael Kidd-Gilchrist","DAL","$810,763","","","","",""
"471","Marquese Chriss","GSW","$758,804","","","","",""
"472","Juwan Morgan","UTA","$746,054","","","","",""
"473","Patrick Patterson","OKC","$737,067","$737,067","$737,066","","",""
"474","Reggie Jackson","LAC","$734,025","","","","",""
"475","Alfonzo McKinnie","CLE","$708,871","","","","",""
"476","Gary Clark","HOU","$708,426","","","","",""
"477","Jeff Green","HOU","$695,526","","","","",""
"478","Cole Aldrich","MIN","$685,340","$685,340","","","",""
"479","Shaun Livingston","GSW","$666,667","$666,667","$666,666","","",""
"480","Marquese Chriss","GSW","$654,468","$1,824,003","","","",""
"481","Timoth¨¦ Luwawu-Cabarrot","BRK","$654,468","$1,824,003","","","",""
"482","Rayjon Tucker","UTA","$578,573","$1,517,981","","","",""
"483","Chris Clemons","HOU","$568,422","$1,517,981","$1,782,621","","",""
"484","Gary Clark","ORL","$555,409","","","","",""
"485","Brandon Goodwin","ATL","$522,738","$1,701,593","","","",""
"486","Dion Waiters","LAL","$503,656","","","","",""
"487","Ryan Anderson","HOU","$500,000","","","","",""
"488","An<U+017E>ejs Pase<U+010D><U+0146>iks","WAS","$482,144","","","","",""
"489","Troy Daniels","DEN","$481,000","","","","",""
"490","Chris Silva","MIA","$466,918","$1,517,981","$1,782,621","","",""
"491","Dakari Johnson","MEM","$459,414","$459,414","","","",""
"492","Iman Shumpert","BRK","$419,443","","","","",""
"493","Max Strus","BOS","$415,414","","","","",""
"494","Justin Robinson","WAS","$395,866","","","","",""
"495","Ivan Rabb","MEM","$371,758","","","","",""
"496","Norvel Pelle","PHI","$350,189","","","","",""
"497","Ky Bowman","GSW","$350,189","$1,517,981","$1,782,621","","",""
"498","Juan Toscano-Anderson","GSW","$350,189","$1,517,981","$1,782,621","","",""
"499","A.J. Hammons","MIA","$350,087","$350,087","","","",""
"500","Festus Ezeli","POR","$333,333","","","","",""
"501","C.J. Watson","ORL","$333,333","","","","",""
"502","Stanton Kidd","UTA","$250,000","","","","",""
"503","Joe Johnson","DET","$220,000","","","","",""
"504","Jemerrio Jones","WAS","$199,000","","","","",""
"505","Jontay Porter","MEM","$197,933","$1,517,981","","","",""
"506","Timoth¨¦ Luwawu-Cabarrot","BRK","$189,702","","","","",""
"507","Dragan Bender","GSW","$189,702","","","","",""
"508","Mychal Mulder","GSW","$187,782","$1,517,981","$1,782,621","","",""
"509","Alfonzo McKinnie","CLE","$183,114","","","","",""
"510","Gary Clark","ORL","$163,356","","","","",""
"511","Joe Chealey","CHO","$163,356","","","","",""
"512","Cameron Payne","TOR","$150,000","","","","",""
"513","Jeff Green","HOU","$144,901","","","","",""
"514","Anthony Tolliver","MEM","$144,901","","","","",""
"515","Joakim Noah","LAC","$144,901","","","","",""
"516","Troy Williams","HOU","$122,741","$122,741","$122,741","$122,741","",""
"517","Johnathan Williams","WAS","$106,181","","","","",""
"518","Tyler Cook","CLE","$101,504","","","","",""
"519","Donta Hall","DET","$101,504","","","","",""
"520","Yante Maten","MIA","$100,000","","","","",""
"521","Jaylen Adams","ATL","$100,000","","","","",""
"522","Justin Anderson","BRK","$98,144","","","","",""
"523","Demetrius Jackson","BOS","$92,857","$92,857","$92,857","$92,857","$92,857",""
"524","Jeremy Pargo","GSW","$91,557","","","","",""
"525","Chasson Randle","GSW","$91,557","","","","",""
"526","Jonah Bolden","PHO","$81,678","","","","",""
"527","Josh Magette","ORL","$81,678","","","","",""
"528","Jarrod Uthoff","MEM","$81,678","","","","",""
"529","Dusty Hannahs","MEM","$81,678","","","","",""
"530","Derrick Walton","DET","$81,678","","","","",""
"531","J.P. Macura","CLE","$81,678","","","","",""
"532","Sheldon Mac","CLE","$81,678","","","","",""
"533","Mychal Mulder","GSW","$50,752","","","","",""
"534","Eric Mika","SAC","$50,752","","","","",""
"535","Zach Norvell","GSW","$50,752","","","","",""
"536","Malik Newman","CLE","$50,752","","","","",""
"537","Marques Bolden","CLE","$50,752","","","","",""
"538","Sir'Dominic Pointer","CLE","$50,752","","","","",""
"539","Paul Watson","ATL","$50,752","","","","",""
"540","Tyler Cook","CLE","$50,000","","","","",""
"541","William Howard","UTA","$50,000","","","","",""
"542","Isaiah Taylor","TOR","$50,000","","","","",""
"543","Tyler Lydon","SAC","$50,000","","","","",""
"544","Hollis Thompson","SAC","$50,000","","","","",""
"545","Tyler Ulis","SAC","$50,000","","","","",""
